Notesnook Helpe | 0.12252 | 0.06282 | 2024-10-18 10:28:10
postgres | 36.42911 | 36.42911 | 2024-10-18 10:28:10
logioptionsplus | 0.00408 | 0.00101 | 2024-10-18 10:28:10
logioptionsplus | 0.00408 | 0.00101 | 2024-10-18 10:28:10
OneDrive | 0.00810 | 0.00297 | 2024-10-18 10:28:10
Arc | 1.33042 | 1.78272 | 2024-10-18 10:28:10
Arc Helper | 138.93467 | 2.91603 | 2024-10-18 10:28:10
com.apple.Safar | 0.00652 | 0.00221 | 2024-10-18 10:28:10
netbiosd | 10.15305 | 0.37231 | 2024-10-18 10:28:10
Code Helper (Pl | 0.00805 | 0.73185 | 2024-10-18 10:28:10
language_server | 0.90484 | 0.60877 | 2024-10-18 10:28:10
Code Helper (Pl | 0.00502 | 0.20960 | 2024-10-18 10:28:10
language_server | 0.27298 | 0.05840 | 2024-10-18 10:28:10
apsd | 0.00468 | 0.03430 | 2024-10-18 10:29:09
mDNSResponder | 283.12165 | 34.69571 | 2024-10-18 10:29:09
Notesnook Helpe | 0.12386 | 0.06348 | 2024-10-18 10:29:09
postgres | 36.43499 | 36.43499 | 2024-10-18 10:29:09
logioptionsplus | 0.00408 | 0.00101 | 2024-10-18 10:29:09
logioptionsplus | 0.00408 | 0.00101 | 2024-10-18 10:29:09
OneDrive | 0.00810 | 0.00297 | 2024-10-18 10:29:09
trustd | 0.00515 | 0.00141 | 2024-10-18 10:29:09
Arc | 1.12484 | 1.77874 | 2024-10-18 10:29:09
Arc Helper | 141.90720 | 2.97196 | 2024-10-18 10:29:09
netbiosd | 10.15607 | 0.37231 | 2024-10-18 10:29:09
Code Helper | 0.00647 | 0.00383 | 2024-10-18 10:29:09
Code Helper (Pl | 0.00821 | 0.73283 | 2024-10-18 10:29:09
language_server | 0.89497 | 0.61499 | 2024-10-18 10:29:09
Code Helper (Pl | 0.00518 | 0.20992 | 2024-10-18 10:29:09
language_server | 0.27538 | 0.06033 | 2024-10-18 10:29:09
parsecd | 0.00624 | 0.00178 | 2024-10-18 10:29:09
amsaccountsd | 0.01739 | 0.00177 | 2024-10-18 10:29:09
amsengagementd | 0.01441 | 0.00157 | 2024-10-18 10:29:09
apsd | 0.00468 | 0.03430 | 2024-10-18 10:30:10
mDNSResponder | 283.27557 | 34.70623 | 2024-10-18 10:30:10
Notesnook Helpe | 0.12518 | 0.06418 | 2024-10-18 10:30:10
postgres | 36.44096 | 36.44096 | 2024-10-18 10:30:10
logioptionsplus | 0.00408 | 0.00101 | 2024-10-18 10:30:10
logioptionsplus | 0.00408 | 0.00101 | 2024-10-18 10:30:10
OneDrive | 0.01516 | 0.00562 | 2024-10-18 10:30:10
trustd | 0.00515 | 0.00141 | 2024-10-18 10:30:10
Arc | 1.11888 | 1.75635 | 2024-10-18 10:30:10
Arc Helper | 144.81561 | 3.02367 | 2024-10-18 10:30:10
netbiosd | 10.15787 | 0.37231 | 2024-10-18 10:30:10
Code Helper (Pl | 0.00837 | 0.73384 | 2024-10-18 10:30:10
language_server | 0.86943 | 0.62126 | 2024-10-18 10:30:10
Code Helper (Pl | 0.00534 | 0.21024 | 2024-10-18 10:30:10
language_server | 0.27895 | 0.06296 | 2024-10-18 10:30:10
parsecd | 0.00624 | 0.00178 | 2024-10-18 10:30:10
amsengagementd | 0.01441 | 0.00157 | 2024-10-18 10:30:10
