Notesnook Helpe | 0.06507 | 0.02867 | 2024-10-15 22:59:10
postgres | 21.23682 | 21.23682 | 2024-10-15 22:59:10
logioptionsplus | 0.00408 | 0.00101 | 2024-10-15 22:59:10
logioptionsplus | 0.00408 | 0.00101 | 2024-10-15 22:59:10
OneDrive | 0.00740 | 0.00280 | 2024-10-15 22:59:10
Arc | 0.26727 | 0.22224 | 2024-10-15 22:59:10
Arc Helper | 18.48733 | 0.54824 | 2024-10-15 22:59:10
Code Helper | 0.00732 | 0.00490 | 2024-10-15 22:59:10
Code Helper (Pl | 2.13918 | 0.81095 | 2024-10-15 22:59:10
language_server | 0.90007 | 2.45371 | 2024-10-15 22:59:10
netbiosd | 8.91816 | 0.29866 | 2024-10-15 22:59:10
apsd | 0.00538 | 0.03041 | 2024-10-15 23:00:10
mDNSResponder | 269.03622 | 30.49539 | 2024-10-15 23:00:10
trustd | 0.00773 | 0.00213 | 2024-10-15 23:00:10
Notesnook Helpe | 0.06627 | 0.02922 | 2024-10-15 23:00:10
postgres | 21.24271 | 21.24271 | 2024-10-15 23:00:10
trustd | 0.00774 | 0.00201 | 2024-10-15 23:00:10
logioptionsplus | 0.00408 | 0.00101 | 2024-10-15 23:00:10
logioptionsplus | 0.00408 | 0.00101 | 2024-10-15 23:00:10
OneDrive | 0.04086 | 0.03802 | 2024-10-15 23:00:10
Arc | 0.26759 | 0.22272 | 2024-10-15 23:00:10
Arc Helper | 18.50248 | 0.56027 | 2024-10-15 23:00:10
Code Helper | 0.02084 | 0.05879 | 2024-10-15 23:00:10
Code Helper (Pl | 2.13935 | 0.83642 | 2024-10-15 23:00:10
language_server | 0.90637 | 2.48097 | 2024-10-15 23:00:10
netbiosd | 8.91816 | 0.29866 | 2024-10-15 23:00:10
OneDrive File P | 0.01397 | 0.01530 | 2024-10-15 23:00:10
apsd | 0.00538 | 0.03041 | 2024-10-15 23:01:09
mDNSResponder | 269.04661 | 30.49921 | 2024-10-15 23:01:09
trustd | 0.00684 | 0.00146 | 2024-10-15 23:01:09
Notesnook Helpe | 0.06773 | 0.02971 | 2024-10-15 23:01:09
postgres | 21.24867 | 21.24867 | 2024-10-15 23:01:09
trustd | 0.00774 | 0.00201 | 2024-10-15 23:01:09
logioptionsplus | 0.00408 | 0.00101 | 2024-10-15 23:01:09
logioptionsplus | 0.00408 | 0.00101 | 2024-10-15 23:01:09
OneDrive | 0.05720 | 0.05433 | 2024-10-15 23:01:09
Microsoft Share | 0.01397 | 0.01297 | 2024-10-15 23:01:09
Arc | 0.25712 | 0.20515 | 2024-10-15 23:01:09
Arc Helper | 18.52039 | 0.57647 | 2024-10-15 23:01:09
Code Helper | 0.01277 | 0.02481 | 2024-10-15 23:01:09
Code Helper (Pl | 2.13973 | 0.82052 | 2024-10-15 23:01:09
language_server | 0.91285 | 2.56954 | 2024-10-15 23:01:09
netbiosd | 8.91816 | 0.29866 | 2024-10-15 23:01:09
OneDrive File P | 0.01939 | 0.01748 | 2024-10-15 23:01:09
apsd | 0.00538 | 0.03041 | 2024-10-15 23:02:10
mDNSResponder | 269.05323 | 30.50216 | 2024-10-15 23:02:10
Notesnook Helpe | 0.06913 | 0.03030 | 2024-10-15 23:02:10
postgres | 21.25455 | 21.25455 | 2024-10-15 23:02:10
logioptionsplus | 0.00408 | 0.00101 | 2024-10-15 23:02:10
logioptionsplus | 0.00408 | 0.00101 | 2024-10-15 23:02:10
OneDrive | 0.02141 | 0.02777 | 2024-10-15 23:02:10
Microsoft Share | 0.01397 | 0.01297 | 2024-10-15 23:02:10
Arc | 0.25730 | 0.20534 | 2024-10-15 23:02:10
Arc Helper | 18.51351 | 0.57021 | 2024-10-15 23:02:10
Code Helper | 0.00721 | 0.00481 | 2024-10-15 23:02:10
Code Helper (Pl | 2.13969 | 0.82660 | 2024-10-15 23:02:10
language_server | 0.91675 | 2.60864 | 2024-10-15 23:02:10
netbiosd | 8.91816 | 0.29866 | 2024-10-15 23:02:10
OneDrive File P | 0.01397 | 0.01566 | 2024-10-15 23:02:10
apsd | 0.00538 | 0.03041 | 2024-10-15 23:03:10
mDNSResponder | 269.06274 | 30.50704 | 2024-10-15 23:03:10
Notesnook Helpe | 0.07043 | 0.03084 | 2024-10-15 23:03:10
postgres | 21.26043 | 21.26043 | 2024-10-15 23:03:10
logioptionsplus | 0.00408 | 0.00101 | 2024-10-15 23:03:10
logioptionsplus | 0.00408 | 0.00101 | 2024-10-15 23:03:10
OneDrive | 0.02138 | 0.01641 | 2024-10-15 23:03:10
